Title,IMDBScore,GenreID,rank_no
"7 aÃ±os",6.8,G7,27
22-Jul,6.8,G7,27
"To the Bone",6.8,G7,27
"The Other Side of the Wind",6.8,G7,27
"The Life Ahead",6.8,G7,27
"The Boys in the Band",6.8,G7,27
"Serious Men",6.8,G7,27
"Paper Lives",6.7,G7,34
Upstarts,6.7,G7,34
"Blue Miracle",6.7,G7,34
"Ajeeb Daastaans",6.7,G7,34
"Hillbilly Elegy",6.7,G7,34
"Imperial Dreams",6.7,G7,34
Moxie,6.7,G7,34
"Night in Paradise",6.7,G7,34
"The Crimes That Bind",6.6,G7,42
Milestone,6.6,G7,42
Tigertail,6.5,G7,44
"What Did Jack Do?",6.5,G7,44
"All Together Now",6.5,G7,44
Monster,6.5,G7,44
"Lust Stories",6.5,G7,44
"Da 5 Bloods",6.5,G7,44
"Nobody Knows I'm Here",6.5,G7,44
"Walk. Ride. Rodeo.",6.4,G7,51
"First Match",6.4,G7,51
"Irreplaceable You",6.4,G7,51
"Street Flow",6.4,G7,51
"Concrete Cowboy",6.3,G7,55
Benji,6.3,G7,55
Cargo,6.3,G7,55
Bright,6.3,G7,55
"Music Teacher",6.3,G7,55
Uncorked,6.3,G7,55
"The Forest of Love",6.3,G7,55
"Notes for My Son",6.3,G7,55
"June & Kopi",6.3,G7,55
"Alien Xmas",6.2,G7,64
"High Flying Bird",6.2,G7,64
Citation,6.2,G7,64
"Below Zero",6.2,G7,64
"The Land of Steady Habits",6.2,G7,64
"The Killer",6.1,G7,69
"Finding 'Ohana",6.1,G7,69
"Tribhanga â€“ Tedhi Medhi Crazy",6.1,G7,69
"Burning Sands",6.1,G7,69
"Deidra & Laney Rob a Train",6.1,G7,69
"Pee-wee's Big Holiday",6.1,G7,69
"Rogue City",6.1,G7,69
"Stuck Apart",6.1,G7,69
"Tersanjung the Movie",6.1,G7,69
"Forgive Us Our Debts",6,G7,78
Lovefucked,6,G7,78
Juanita,6,G7,78
Amateur,5.9,G7,81
"Horse Girl",5.9,G7,81
"6 Balloons",5.9,G7,81
"Class of '83",5.8,G7,84
"What We Wanted",5.8,G7,84
"All Day and a Night",5.8,G7,84
"American Son",5.8,G7,84
"Choked: Paisa Bolta Hai",5.8,G7,84
"Dad Wanted",5.7,G7,89
"Good Sam",5.7,G7,89
Ã’lÃ²turÃ©,5.5,G7,91
"Madame Claude",5.4,G7,92
"Dolly Kitty Aur Woh Chamakte Sitare",5.4,G7,92
"Who Would You Take to a Deserted Island?",5.3,G7,94
"Gunjan Saxena: The Kargil Girl",5.3,G7,94
XOXO,5.3,G7,94
"The Beast",5.2,G7,97
Firebrand,5.2,G7,97
"Love Like the Falling Rain",5,G7,99
"The Day of the Lord",4.9,G7,100
"Holiday Rush",4.9,G7,100
"The Ridiculous 6",4.8,G7,102
"The Binding",4.7,G7,103
"Finding Agnes",4.7,G7,103
"The Call",4.1,G7,105
Anima,7.7,G8,1
"Jingle Jangle: A Christmas Journey",6.5,G8,2
"Eurovision Song Contest: The Story of Fire Saga",6.5,G8,2
"Como CaÃ­do del Cielo",6.4,G8,4
"The Prom",5.9,G8,5
"A Week Away",5.7,G8,6
"Been So Long",5.5,G8,7
"Dolly Parton's Christmas on the Square",5.2,G8,8
Paradox,3.9,G8,9
Bulbbul,6.6,G9,1
"Gerald's Game",6.5,G9,2
1922,6.3,G9,3
Apostle,6.3,G9,3
"The Perfection",6.1,G9,5
Cam,5.9,G9,6
"Army of the Dead",5.9,G9,6
Eli,5.7,G9,8
"Vampires vs. the Bronx",5.6,G9,9
"In the Tall Grass",5.4,G9,10
"Things Heard & Seen",5.3,G9,11
"Ghost Lab",5.2,G9,12
Cadaver,5.1,G9,13
"Nobody Sleeps in the Woods Tonight",4.8,G9,14
"I Am the Pretty Thing That Lives in the House",4.6,G9,15
Rattlesnake,4.6,G9,15
"Death Note",4.4,G9,17
"Ghost Stories",4.3,G9,18
"The Open House",3.2,G9,19
